,Date,change,News
1043,2017-12-20,-1,"['Streaming music market picks up tempo ahead of Spotify IPO', 'IDC  Watches will dominate wearables market in 2021', 'Korea Herald  Samsung will quadruple iPhone OLED output in 2018', 'BoE s Carney sees problems with central bank issued cryptocurrencies', 'Apple unifying OS apps  responds to phone slowing accusations', 'Apple slows some older iPhones because of flagging batteries']"
1044,2017-12-21,1,"['Apple wins big with U S  tax bill but faces snag on foreign patents', 'Morgan Stanley calls Apple a  top pick  on China growth', 'Huawei gives Nokia full hand of smartphone patent deals', 'Facebook signs licensing deal with Universal Music  announces new fake news tool', 'Bloomberg  Apple testing advanced heart rate monitor in Watch', 'Alphabet s Eric Schmidt to step down as executive chairman', 'Exclusive  IPO hopeful Xiaomi set to blow past 2017 revenue target   sources', 'Japan Display says reports of seeking funds not true  wants partner', 'China ride sharing firm Didi raises  4 billion for global push', 'Japan Display says report it sought Apple  Huawei funds is  speculative ']"
1045,2017-12-22,1,"['Bitcoin  Marijuana Stock Crazes Take Root in Canada s Wild West', 'Apple hires more Amazon Studios execs', 'In Silicon Valley  much feared tax bill pays dividends for workers', 'Apple sanctioned for withholding documents in FTC case against Qualcomm']"
1046,2017-12-26,-1,"['Rosenblatt defends Apple on iPhone X sale cut', 'Apple Drags Down Tech Shares as Oil Rises Past  59  Markets Wrap', 'Apple and its suppliers weigh on Wall Street', 'Commodities gain  equities pause 2017 rally in holiday trading', 'Apple  suppliers drop on report of weak iPhone X demand', 'Apple faces lawsuits after saying it slows down aging iPhones', 'Japan s Denso considering  440 million investment in JOLED  Kyodo', 'Top 5 Things to Know in the Market on Tuesday', 'Stocks   U S  Futures Slip Ahead of Consumer Confidence as Apple Weighs', 'Apple  suppliers drop on iPhone X sales report', 'IPhone X Shipment Forecasts Cut by Analysts Citing Tepid Demand']"
1047,2017-12-27,1,"['Stocks   U S  Futures Point to Muted Open as Tepid Holiday Trade Continues', 'Huawei s China smartphone sales chief detained for suspected bribe taking', 'Tech  healthcare stocks prop up Wall Street', 'Apple devices led Christmas activations', 'Dow Jones Ekes Win as Energy Weighs ', 'More lawsuits filed for iPhone slowdown', 'World stocks rise as metals surge mitigates iPhone X woes', 'Top 5 Things to Know in the Market on Wednesday']"
1048,2017-12-28,1,"['Apple  Epson face French legal complaints over allegedly shortening life of products', 'Apple faces another legal challenge  competitor brags about not throttling', 'Amazon pulls YouTube from Fire TV ahead of deadline', 'With lineup widening  Apple depends less on iPhone X', 'Wall Street rises as financials  tech advance', 'Apple s apology letter to consumers includes  29 batteries', 'Apple boosts pay for Tim Cook', 'Apple  Amazon heading to Saudi Arabia ', 'LG Display denies supplying OLED panels for iPhone X', 'NFL  National Football League roundup']"
1049,2017-12-29,-1,"['Apple roundup  iPhone tops 2017 tech sales  more battery woes', 'Apple apologizes after outcry over slowed iPhones', 'China s Huawei flags slower smartphone and overall revenue growth', 'Citron Research tweets Energous   history of deception   shares drop 6 4', 'Stocks  Wall Street Opens Lower as Tech Shares Fall']"
1050,2018-01-02,1,"['Stocks  Wall Street Rings in New Year on a High Note', 'Apple analyst says low iPhone X estimates still  too high ', 'TechCrunch  Apple acquires mobile app iteration company', 'Wall Street starts year on strong note  Nasdaq ends above 7 000', 'Asian Shares Gain With Shanghai Up Almost 1  Despite Trump Nuclear Tweet', 'Stocks  U S  Futures Inch Forward Despite Geopolitical Tensions', 'Alibaba s mobile browser beats Google in emerging markets', 'Apple instructs Stores to offer  29 battery regardless of diagnostic test']"
1051,2018-01-03,-1,"['Brazilian agency requires Apple to inform consumers on batteries', 'Spotify makes confidential filing for U S  IPO  source', 'Apple s battery replacement offer to reduce 2018 iPhone sales  Barclays', 'SEC mixes message on Apple shareholder proposals  activists say', 'How Much Can Buybacks Rise on Tax Cuts  This Estimate Says 70', 'Amazon  Google cut speaker prices in market share contest  analysts']"
1052,2018-01-04,1,"['Spotify reaches 70 million subscribers', 'Reports  With shares vesting  Iovine to leave Apple', 'Samsung Elec on track for record fourth quarter earnings', 'Oppenheimer Global ESG Revenue ETF  ESGF  December Summary', 'GBH  Apple could repatriate  200B', 'Dow breaks 25 000 as U S   global growth hopes remain strong', 'Apple App Store s record breaking holiday season included  300M in a day']"
1053,2018-01-05,1,"['Cryptocurrency Mania Continues in 2018 Even as Regulators Turn Up Heat', 'Jimmy Iovine to leave Apple Music in August  Billboard', 'Swiss index  FTSE hit records as European stocks jump', 'WSJ  Apple product delays doubled under CEO Cook']"
1054,2018-01-08,0,"['Apple should address youth phone addiction  say two large investors', 'Fairpointe adds to shareholder demands over Nuance CEO plan', 'French prosecutor launches probe into Apple planned obsolescence  judicial source', 'Samsung Profit Misses Estimates as Stronger Won Hurts Earnings', 'European shares hit highest since August 2015 as autos  rally continues']"
1055,2018-01-09,-1,"['Canada s competition watchdog settles with HarperCollins', 'IPhone addiction may be a virtue  not a vice for investors', 'Apple pledges better parental control features', 'Samsung profit guidance disappoints  memory outlook cloudy', 'Huawei s global ambitions hit by AT T phone distribution deal s collapse', 'MoviePass army up to 1 5M', 'Apple store in Zurich evacuated as phone battery overheats', 'FBI chief calls unbreakable encryption  urgent public safety issue ']"
1056,2018-01-10,1,"['Jimmy Iovine says not leaving Apple  Variety', 'Apple will transfer China cloud business to partner next month  Iovine not leaving Music', 'Apple faces questions from U S  Senator  class action lawsuits  and tax reveal', 'European banks braced for  slow burn  payments revolution', 'Senator wants Apple to answer questions on slowing iPhones']"
1057,2018-01-11,1,"['Buffett Gives Big Thumbs Down to Cryptocurrencies ', 'Barclays a big believer in Netflix', 'FT  EU regulators could approve Qualcomm s NXP buy next week', 'Corporations may dodge billions in U S  taxes through new loophole  experts']"
1058,2018-01-12,1,"['Explainer  Investors to scour outlooks for U S  companies  tax cut plans', 'Apple roundup  Cowen s iPhone build note  Mac sales  7   AR glasses discussions', 'House Republicans want answers on Apple throttling older iPhone speeds  letter']"
1059,2018-01-16,-1,"['Apple iPhone activations up 10 points in Q4', 'Stocks  Dow Hits 26 000 Amid Strong Earnings Results']"
1060,2018-01-17,1,"['Apple plans to add  350B to US economy   38B in repatriated tax payments', 'Chart topping fitness app  Sweatcoin  secures funding', 'Apple issues  2 500 bonuses to employees after new tax law  Bloomberg', 'Bloomberg  Apple employees will get  2 500 bonus', 'Factbox  Trump on Twitter  January 17    Bob Dole  Apple  Fiat  ISIS  Fake news', 'Apple plans new U S  campus  to pay  38 billion in foreign cash taxes', 'Longbow downgrades Apple on lower iPhone forecast', 'BofAML raises Apple s price target to  1 1T valuation']"
1061,2018-01-18,-1,"['TSMC expects iPhone shipments to drop  softened by crypto mining boost', 'Apple says it will decide new campus site without an auction', 'Buyers jockey for indie films at Sundance without Weinstein', 'Apple to release software update to resolve iPhone slowdown  CEO', 'Darabont files new lawsuit against AMC Networks over  The Walking Dead ', 'Apple  Alphabet employee buses damaged by vandals during commute', 'South Korean group files complaint against Apple CEO over iPhone slowdown', 'These 14 stocks will see sales skyrocket in 2018  Goldman Sachs says', 'EU antitrust regulators clear Qualcomm purchase of NXP', 'Apple s U S  tax payment does not change EU s Irish tax ruling', 'Lebanon spy agency targets smartphone users worldwide  researchers say', 'WhatsApp inches closer to revenue plan with accounts for businesses', 'Apple still owes EU tax bill  payments start in March', 'Amazon cancels three shows  looks for blockbusters in programming shift', 'Italy s anti trust opens probe into Apple  Samsung phone complaints']"
1062,2018-01-19,-1,"['Stocks  Wall Street Mixed As Government Shutdown Looms', 'Apple  suppliers drop as key analyst lowers iPhone X lifetime sales forecast', 'TechCrunch  Apple hires tech team from business consulting startup', 'Xiaomi to expand store network in Indian tussle with Samsung', 'Apple Hospitality declares  0 10 dividend']"
1063,2018-01-22,-1,"['FDA s tobacco stance faces test with Philip Morris iQOS device', 'LG Display fourth quarter profit slumps on falling panel prices', 'U S  product lets investors triple bet on popular tech stocks', 'Craft and tech mingle at French couture house Fournie', 'Apple receives second downgrade in a week on weaker Q2 expectations']"
1064,2018-01-23,-1,"['Apple  suppliers move after JPMorgan says iPhone X build will weaken', 'Sony goes negative as JPMorgan downgrades on phone sensor worries', 'Nasdaq Closes at Record Highs as Netflix Soars', 'Apple s HomePod smart speaker launches Feb  9', 'Apple roundup  iPhone X sells 29M units  new MacBook rumor  Foxconn shift', 'FT  Qualcomm facing potential  2B EU fine over Apple', 'Apple launches HomePod voice speaker  takes on Google  Amazon']"
1065,2018-01-24,-1,"['Apple previews iOS 11 3 with battery management features  health records', 'One Horizon Group announces acquisition of 123Wish  shares  16', 'Apple  1 1  awaiting CNBC analyst interview with cautionary comments', 'Siemens prepares for industrial software consolidation', 'China goes on tech hiring binge and wages soar  closing gap with Silicon Valley', 'iPhone software update spotlights Apple secrecy on battery health', 'EU slaps Qualcomm with  1 2B antitrust fine', 'Starbucks to boost pay  benefits after U S  lowers corporate taxes', 'Stifel lowers Lumentum price target  still sees 50  upside', 'Apple to add battery features after slowdown row']"
1066,2018-01-25,-1,"[' Tax Cut Package Yet to Fuel Boom in Jobs and Investment ', 'Nestle  Atari settle lawsuit over Kit Kat campaign', 'Stocks  Wall Street Opens Higher Amid Strong Earnings', 'Apple iBooks redesign coming  Sonos discounts Alexa speakers to match HomePod', 'Apple roundup  New self driving vehicles join fleet  original content push gets new show', 'Dow Jones Closes at Record High as Bullish Earnings Continue To Drive Rally']"
1067,2018-01-26,-1,"['Fujitsu in talks to sell mobile phone unit  highlighting fading Japanese presence', 'Rosenblatt  BTIG disagree on Apple s Q1 potential']"
1068,2018-01-29,-1,"['Apple halving iPhone X production in Q1', 'U S  consumer spending rises  savings drop to 10 year low', 'U S  stocks lower at close of trade  Dow Jones Industrial Average down 0 67', 'Dow  S P 500 suffer worst one day fall in five months as Apple drags', 'Dow Jones Closes Lower as Rising Rates Weigh ', 'Trump team idea to nationalize 5G network to counter China is rejected', 'Qualcomm to make first payment for violating competition law in Taiwan']"
1069,2018-01-30,1,"['Bloomberg  DOJ and SEC investigating Apple iPhone throttling', 'Dow Jones Suffers Biggest Fall Since August  Sheds 360 Points', 'U S  agencies probe Apple over slowing iPhones  Bloomberg', 'Asia Shares Gain As Markets Shrug Off Trump Speech  Note Regional Data', 'Apple supplier Murata says iPhone X output target cuts overstated in report', 'Cyclical reversal dents European shares as results roll in', 'U S  Stock Futures Trading Sharply Lower Ahead of Open ', 'U S  telehealth industry eyes Medicare for its next big check', 'Amid angst over iPhone X  Wall Street braces for weak forecast from Apple', 'Apple delaying some iOS updates  WSJ reports on iPhone X production cuts', 'Google Brain co founder raises  175 million fund for AI startups', 'Reports  Verizon dropping plans to sell Huawei phones amid U S  pressure', 'Deutsche Bank  Apple consensus estimates still too high for Q1  Q2', 'Asia stocks off record highs as Wall St  flags  dollar firms on higher yields']"
1070,2018-01-31,1,"['With Samsung deal  Qualcomm doubles down on licensing practices', 'Spotify tests new app to rival Pandora  TechCrunch', 'Wall Street analyst downgrades Apple  says there s one big problem with the iPhone X', 'BMO downgrades Apple  expects revenue guidance cut', 'Apple admits to government questioning  new iPhone coming to India ', 'Pandora to cut 5 percent of jobs', 'PayPal s shares fall after eBay announces new payment partner', 'Qualcomm profit beats estimates but weak China mobile sales weigh on outlook', 'Sequoia Capital plans  8 billion global fund  eyes China investors  sources', 'Japan s Sharp posts fifth straight quarterly profit', 'Fujitsu agrees to sell majority stake in mobile phone unit to Polaris', 'Apple supplier Wistron nears land deal in India  sources']"
1071,2018-02-01,1,"['Apple roundup  Record Q4 for iPhone  refurbished iPhone 7  India import tax hike', 'Wall St  pulls back from earlier gains as bond yields rise', 'Apple beats by  0 04  beats on revenue', 'The Day Ahead  Top 3 Things to Watch', 'Apple  1  on Q1 unit sales drop  downside guidance', 'Apple  No soft Q2 for iPhones  plans to reduce  163B net cash to  approximately zero', 'Alphabet s earnings miss profit estimates as spending grows', 'Asian shares struggle  China dips on Lunar New Year profit taking', 'Earnings help European stocks snap three day losing streak', 'Stocks   U S  Futures Mixed Ahead of Earnings  Data', 'Goldman Sachs removes Nvidia from Conviction Buy list  shares  1 2', 'Elliott increases NXP stake  asks shareholders not to tender to Qualcomm', 'Alphabet  Aramco in talks to build tech hub in Saudi Arabia  WSJ']"
1072,2018-02-02,-1,"['Rate Angst Sends Dow Down 600 Points as Bonds Sink  Markets Wrap', 'Cisco cuts stake in litigation opponent Finjan to zero', 'Apple stock loses some sheen on disappointing iPhone sales', 'Apple launches free repairs for iPhone 7 glitch', 'Overnight earnings roundup', 'Strong iPhone prices  cash plans buoy Apple shares after muted outlook', 'Sony CEO Hirai to step down  turnaround ally Yoshida to take helm', 'China s Xiaomi back to top five vendor as global smartphone market shrinks', 'Sizable losses in store at the open', 'Apple down more than 2  as results guidance digested', 'Moody s not too concerned with Apple s  cash neutral  policy', 'Apple s user base grows  but analysts probe for more detail', 'Blockchain to track Congo s cobalt from mine to mobile']"
1073,2018-02-05,-1,"['Aurora to supply self driving system to China s EV startup Byton', 'German parties add another day in last ditch push for coalition', 'Apple supplier Skyworks  revenue rises 15 percent', 'WSJ  Apple Music closing in on Spotify', 'Morgan Stanley upgrades Accenture', 'Apple  Cisco team to offer cybersecurity insurance discounts', 'Damp iPhone demand to pressure RF chipmakers  Morgan Stanley says']"
1074,2018-02-06,1,"['Dow Jones Soars After More Than 900 Point Swing From Session Lows', 'Lumentum s share surge fueled by higher iPhone X part sales', 'Apple sees  strong demand  for replacement iPhone batteries  letter', 'Akamai revenue  profit top estimates on robust cloud demand', 'What were the chances  U S  stock selloff sinks Probabilities Fund among others', 'Spotify generates third quarter revenue of  1 2 billion  The Information', 'At least four killed  145 missing after quake rocks Taiwan tourist area', 'European shares hit six month low as volatility shakes markets', 'Stock sell off overdue  investors lick their wounds and hunt', 'Waymo may try to push Uber ex CEO s buttons in car secrets trial', ' Any size of deal is possible   says chipmaker AMS', 'Apple to build a second data center in China  Xinhua', 'EU regulators to examine Apple buy of UK music discovery app Shazam', 'Apple roundup  Watch sales up in FY17  second Chinese center  EU investigating Shazam acquisition', 'Remark responds to  bogus claims  in  sloppy  short report', 'Apple could offer battery rebates  software update coming to newer iPhones', 'European shares hit six month low as sell off deepens  volatility spikes']"
1075,2018-02-07,-1,"['As U S  rattles saber on trade  Asia bites its tongue on soft dollar', 'Goldman in talks with Apple to finance iPhone sales  WSJ', 'Stocks   U S  Futures Fall as Volatile Trading Continues', 'Stocks  Wall Street Struggles for Direction as Volatile Trading Continues', 'Snap shares surge after app redesign sparks user growth', 'Big Tech should pay more taxes  German coalition', 'France  Germany want progress on taxing tech giants', 'Apple brings Alibaba linked payment system into China stores amid market push']"
1076,2018-02-08,-1,['Stocks   U S  Futures Point to Lower Opening on Wall Street']
1077,2018-02-09,-1,"['Qualcomm rejects Broadcom s revised buyout offer  proposes meeting', 'Waymo accepts  245 million and Uber s  regret  to settle self driving car dispute']"
1078,2018-02-12,1,"['Premarket Gainers as of 9 05 am  02 12 2018', 'Inside JPMorgan s big contrarian bet on brick and mortar bank branches', 'Stocks  Wall Street Surges as Investors Shrug Off Inflation Fears ', 'Dow Jones Bags 400 Points as Volatility Cools', 'U S  stocks higher at close of trade  Dow Jones Industrial Average up 1 70', 'Wall Street bounces back after tumultuous week', 'Foxconn to use proceeds from unit s Shanghai IPO to fund  4 billion projects', 'Qualcomm  Broadcom plan to meet on February 14  sources']"
1079,2018-02-13,1,"['Apple CEO downplays special dividend at shareholder meeting', 'Shareholder proposals fail at Apple meeting', 'Hedge fund  Time Warner attractive regardless of deal outcome', 'Apple meeting  CEO Cook downplays repatriation dividend', 'Wall St  advances  investors lock on inflation data', 'Global stocks gain for third day  yields slip ahead of U S  inflation data', 'Stocks   U S  Futures Ease Back From Monday s Rally', 'Add Apple To Safe Haven Investment List   ']"
1080,2018-02-14,1,"['Apple in talks for first order from Chinese chipmaker  Nikkei', 'Berkshire buys Teva  feels IBM blues as Apple becomes top investment', 'Qualcomm meets Broadcom to discuss  121 billion acquisition offer', 'Japan Display books fourth straight quarterly loss  no partner yet', 'Mi mi mi  super fans of China s Xiaomi stoke IPO ambitions', 'Apple in talks for first order from Chinese chipmaker   Nikkei']"
1081,2018-02-15,1,"['Apple Q4 performance  12  China growth  51  of global smartphone revenue', 'Wall Street builds on rally while Apple shines', 'U S  stock volatility shock wanes  VIX futures signal smoother sailing', 'Apple says working to fix Telugu script bug causing device crash', 'Big investor moves in latest 13 F filings', 'Google s app network quietly becomes huge growth engine', 'VW looks at Apple for electric car design guidance']"
1082,2018-02-16,1,"['Qualcomm says open to more deal talks with Broadcom following meeting', 'Ells Yields Chipotle CEO Post  But Don t Rule Out Comeback  ', 'Backstory  Warren Buffett s Valentine s Day surprise for investors', 'NAR  Samsung looking for OLED buyers after iPhone X cuts', 'GBH sets Apple target at 18 5  upside']"
1083,2018-02-20,-1,"['Samsung Electronics to slash OLED panel production as iPhone X demand disappoints  Nikkei', 'The brand Olympics  getting attention without getting in trouble', 'Needham upgrades Universal Display to Buy ahead of earnings', 'Qualcomm deals blow to Broadcom s bid with sweetened NXP deal']"
1084,2018-02-21,-1,"['Stocks  Wall Street Rises Higher Ahead of Fed Minutes', 'New iPads teased in regulatory filing  Cook says Apple not in Music for the money', 'Broadcom cuts Qualcomm offer to  117 billion after new NXP deal', 'Apple in talks with miners to secure cobalt supplies  sources', 'Apple looks to buy cobalt from miners']"
1085,2018-02-22,1,"['Wait  I know you  home security startup taps face recognition tech', 'Ireland expects to collect  16B from Apple  Apple Pay has 127M users', 'Stocks   U S  Futures Flat Amid Fresh Interest Rate Concerns', 'Buffett letter may tout optimism as broader market worries ebb', 'Apple planning AirPods upgrades  global smartphone shares slip in Q4', 'Stocks  Wall Street Rises as Interest Rate Worries Linger', 'Irish taxman sees disputed Apple bill remaining around  16 billion']"
1086,2018-02-23,1,"['Exclusive  U S  tells India to cut tariffs as trade friction heats up', 'Stocks  Wall Street Rises as Investors Look Ahead to Fed Speeches']"
1087,2018-02-26,1,"['Apple confirms using Google Cloud  Cook will co chair China business forum', 'Bloomberg  Apple releasing three iPhones this fall', 'Apple plans biggest iPhone yet for 2018  Bloomberg', 'Apple shares on verge of record high after Buffett comments', 'Broadcom calls Qualcomm s offer for price talks  engagement theater ', 'Samsung launches Galaxy S9 with focus on social media', 'Apple moves to store iCloud keys in China  raising human rights fears', 'Samsung launches the Galaxy S9', 'Sony pins hopes on 4K video to revive smartphone sales', 'Buffett talks shop after annual letter', 'Stocks  Dow Surges as Investors Turn Focus to Fed']"
1088,2018-02-27,-1,"['Fitbit slumps as new smartwatch fails to excite', 'Google s Clips camera is latest effort to bring AI into home gadgets', 'Asian Stocks Extend Gains But Hang Seng Turns Negative', 'Apple is launching medical clinics', 'Stocks  U S  Futures Inch Down Ahead of Powell Debut']"
1089,2018-02-28,-1,"['Amazon Prime Music comes to India  Alexa skills get more rewards', 'Google rivals go to EU antitrust regulator  Google talks to startup about housing', 'U S  stocks lower at close of trade  Dow Jones Industrial Average down 1 50', 'Best Buy plans to shut 250 small U S  mobile phone stores', 'Amazon launches music streaming service in India', 'Stocks  Wall Street Opens Higher as Markets Shake Off Powell Comments', 'Apple moves Chinese iCloud data  encryption keys to China']"
1090,2018-03-01,-1,"['Big pharma  big data  why drugmakers want your health records', 'Stocks  U S  Futures Fall As Interest Rate Worry Returns', 'Spotify plans to list shares  fend off Apple and Amazon']"
1091,2018-03-02,1,"['JPMorgan lowers iPhone X production estimate to 15M in Q1', 'Bloomberg  No company more at risk from trade retaliation than Boeing', 'Stocks  U S  Futures Fall After Trump Announces Tariffs']"
1092,2018-03-05,1,"['Piper Jaffray survey shows why iPhone owners didn t want X', 'Stocks  U S  Futures Mixed As Trade War Fears Continues', 'Apple planning cheaper MacBook Air  branded headphones this year ', 'Apple supplier Finisar will start production at new plant in October', 'U S  security panel deals major blow to Broadcom s bid for Qualcomm']"
1093,2018-03-06,-1,['Baird sees Apple in strong position with iPhone  Watch  HomePod']
1094,2018-03-07,1,"['Ireland chooses BNY Mellon to manage Apple escrow fund', 'Stocks  U S  Futures Slump After Cohn Resigns   ', 'Instacart looks beyond Whole Foods', 'GBH Insights sees minimal tariff impact on FANG stocks', 'Apple finds more serious supplier problems as its audits expand']"
1095,2018-03-08,1,"['Wall  Street Has A Taste For Domino s Pizza  ', 'Ex U S  House staffer sentenced for cyberstalking lawmaker', 'Barack Obama in talks to create shows for Netflix  New York Times', 'Foxconn gets China go ahead for Shanghai IPO of subsidiary', 'Apple s high performance suppliers  35   Could Apple buy Snap', 'Stocks  Wall Street Rises As Trade War Fears Dissipate']"
1096,2018-03-09,1,"['Netflix eyes content deal with Barack Obama', 'Waymo s self driving trucks to haul cargo for Google in Atlanta', 'Wall Street has never been so far behind on Netflix', 'WSJ  Goldman s Blankfein plans to step down as soon as end of the year']"
1097,2018-03-12,1,"['Lumentum to buy Oclaro for  1 8 billion', 'Apple acquires magazine subscription app Texture', 'Apple more interested in studios than Netflix', 'Has Spotify answered its royalty problem ', 'Apple Music hits 38M paid subscribers  Apple orders first animated series', 'Apple hit new high today in race towards  1T market cap', 'Apple Music hits 38 million paid subscribers', 'Apple to buy digital magazine service Texture']"
1098,2018-03-13,-1,"['Apple supplier Wistron secures land to build new site in southern India', 'Spotify enters South African market', 'Report  Facebook to launch News feature on its Watch platform', 'GBH  Amazon and Facebook could disrupt live sports broadcasting', 'Apple pegs June 4 to kick off WWDC']"
1099,2018-03-14,-1,"['France will sue Apple  Google over developer treatment', 'France to sue Google  Apple over developer contracts  minister', 'RBC Capital raises Nvidia target to 15  upside', 'Former Apple employees discuss Siri problems with The Information', 'Qualcomm Outspent Broadcom About 100 to 1 in Washington Lobbying']"
1100,2018-03-15,1,"['China may adopt some of Germany s law on self driving cars  expert', 'Google  Airbnb add new accessibility features', 'Spotify touts growth over profits in listing pitch to retail investors', 'With Qualcomm behind it  Broadcom looks to smaller deals', 'Balancing act  Chip giant Qualcomm caught between Washington and Beijing', 'EU antitrust regulators to decide on Apple  Shazam deal by April 23', 'EU sets date for Apple Shazam approval  Apple supplier denies production shutdown']"
1101,2018-03-16,-1,"['KGI  Mac laptop shipments will grow 16  this year', 'Barclays lowers its Apple price target  Apple education event coming March 27', 'Over 100 countries agree to seek digital tax consensus by 2020  OECD', 'Former Qualcomm chairman Jacobs to exit board of directors', 'Wall Street s tech love affair might end in tears']"
1102,2018-03-19,-1,"['On eve of Trump Saudi meeting  Riyadh calls Iran nuclear deal flawed', 'BlackBerry must face revived U S  lawsuit over BlackBerry 10', 'How China s ride hailing giant Didi plans to challenge Uber in Mexico', 'Apple is developing MicroLED screens', 'Apple developing own screens using next generation MicroLED tech  Bloomberg', 'SoftBank could relist British chip designer ARM  FT', 'Nomura Instinet lowers FY18 iPhone forecast', 'Wall Street slides as Facebook data issue pounds tech sector']"
1103,2018-03-20,0,"['Amazon s market cap passes Alphabet', 'Morneau Says Canada Will Study Issue of Taxing Technology Giants', 'On eve of trial on Time Warner deal  AT T  U S  government lay out cases', 'Vanguard defends proxy powers for small time shareholders', 'From Wall Street to weed  How the financial crisis lit up the pot industry', 'Apple grabs two year lead in 3D sensing race', ' Socially responsible  investors reassess Facebook ownership', 'Apple grabs big lead in 3D sensing', 'Avon Products adds Cerberus vice chairman to board as Mayer retires', 'Apple self driving fleet doubles  Chicago Apple Store up for sale']"
1104,2018-03-21,-1,"['New iPhone X could cost Apple 10  less  Iovine stepping back from Music', 'Ten High Flying Tech Stocks Vulnerable to U S  China Trade War ', 'New study shows Apple Watch accuracy at detecting irregular heartbeats', 'China smartphone makers join hands on apps  pose threat to WeChat', 'EU tax plan for U S  tech giants', 'EU proposes online turnover tax for big tech firms', 'Designed in California  made in China  how the iPhone skews U S  trade deficit']"
1105,2018-03-22,-1,"['Stocks  Wall Street Takes a Hit as Trade War  Tech Stocks Weigh', 'Apple will fix bug that let Siri read hidden notifications', 'Trump moves toward China tariffs in warning shot on technology transfer', 'Trade fears loom as Samsung Electronics shareholders approve stock split', 'Stocks  U S  Futures Fall as Trump Set for Chinese Tariffs', 'Chief brand officer Tariq is latest prominent exec to leave Ford', 'Apple s new iPhones could enter trial production in Q2']"
1106,2018-03-23,-1,"['Ireland chooses managers for Apple taxes  Tim Cook heading to China', 'Qualcomm directors face tepid vote and more from the annual meeting', 'KGI Securities analyst sees Apple Pencil sales doubling in 2018', 'Qualcomm re elects board of directors with tepid support', 'Stocks  U S  Futures Slump as Trade War Fears Rise', 'China Hits Back on Trump Tariffs as Europe Off Hook for Now', 'Ireland chooses investment firms to manage Apple cash', 'Stocks  Wall Street Tries to Shake Off Trade Worry  Trump Veto Concerns']"
1107,2018-03-26,1,"['Spotify sees revenue growth easing as gears up for listing', 'Apple Music    virtual record label ', 'Apple  IBM chiefs call for more data oversight after Facebook breach', 'Stocks  U S  Futures Rise on U S   China Trade Talks']"
1108,2018-03-27,-1,"['Apple launches low cost iPad', 'China s Huawei sees Europe as stepping stone in Samsung Apple rivalry', 'FBI sought iPhone order before exhausting options  U S  inspector general', 'More from Apple s education event  analyst predicts next Watch features', 'Apple hosts education related event', 'Rift deepens between Apple  India s telecom regulator over anti spam app', 'Foxconn unit buys Belkin for  866M']"
1109,2018-03-28,-1,"['Stocks  Wall Street Struggles for Direction Amid Trade  Tech Worry', 'Tech problems keep shares shaky  dollar gets GDP boost', 'EU antitrust chief turns to academics to help tackle tech challenges', 'Global market bull run finally comes to an end in first quarter', 'SoftBank Vision Fund  Saudi Arabia to create world s biggest solar power firm', 'Stocks  U S  Futures Fall as Tech  Trade Worry Resurfaces', 'Goldman Sachs cuts forecast for Apple iPhone  revenue']"
1110,2018-03-29,-1,"['FAANG stocks are a  dead trade ', 'Apple unveils new privacy tools ahead of EU law', 'Apple releases iOS 11 3', ' Exclusive  Paragon Post ICO Interview with Cryptovest  SEC  Blockchain  Cannabis and More ', 'European funds buy bonds  see euro growth cycle peak  Reuters poll', 'Global funds cut stock exposure to four month low amid trade war fears', 'Weekly Comic  Wall Street s Beloved  FAANG  Stocks Lose Their Bite', 'Stocks reboot after tech problems  first quarter losses loom']"
1111,2018-04-02,1,"['Zuckerberg on Tim Cook s  extremely glib  criticism', 'Spotify is going public at a terrible time for tech stocks   but this chart should get investors excited', 'Stocks  Wall Street Inches Down Amid Trade Worry Between U S   China', 'Finisar down on report it s lost key Apple VCSEL deal']"
1112,2018-04-03,1,"['Spotify shares jump in record setting direct listing', 'U S  escalates China trade showdown with tariffs on  50 billion in imports', 'Exclusive  Facebook CEO stops short of extending European privacy globally', 'As China tightens squeeze  soul searching for Hong Kong s democracy movement', 'Europe joins sell off but Wall Street eyes rebound', 'Top 5 Things to Know in the Market on Tuesday', 'Silicon Valley  Wall Street taking notes on Spotify debut', 'Five Things to Know About the New York Fed s Incoming President', 'Apple discloses gender pay gap at UK operations']"
1113,2018-04-04,1,"['Apple working on iPhones with touchless control  curved screen  Bloomberg', 'Surging Apple Hedging Costs Show It s Reeling From Trade Spat', 'Apple hires former Google executive as AI chief', 'Amazon could launch competing bid for India s Flipkart  report', 'Apple Pay arrives in Brazil  partnering with Ita  Unibanco', 'Reuters  Zuckerberg doesn t commit to extending full EU privacy laws', ' Stocks  Wall Street Slumps as Trade War Simmers', 'Apple hires former Google AI head  touchless controls  curved screens for iPhones']"
1114,2018-04-05,1,"['Bloomberg  Apple s Cook will be deposed in Qualcomm suit', 'China tariffs on U S  business jets seen a boon for Canada s Bombardier  others', 'Citi reiterates Apple Buy on capital returns', 'Spotify shares attract all ages  not just Millennials']"
1115,2018-04-06,-1,['Apple says repeal of EPA carbon plan would threaten investments']
